Z,elem,A,N,Rav,delta_Rav
11,Na,30,19,3.1180,0.0884
11,Na,31,20,3.1704,0.0893
12,Mg,21,9,3.0626,0.0067
12,Mg,22,10,3.0688,0.0052
12,Mg,23,11,3.0425,0.0039
12,Mg,24,12,3.0568,0.0018
12,Mg,25,13,3.0288,0.0020
12,Mg,26,14,3.0337,0.0018
12,Mg,27,15,3.0324,0.0022
12,Mg,28,16,3.0691,0.0034
12,Mg,29,17,3.0756,0.0040
12,Mg,30,18,3.1107,0.0056
12,Mg,31,19,3.1486,0.0076
12,Mg,32,20,3.1861,0.0131
13,Al,27,14,3.0610,0.0031
14,Si,28,14,3.1224,0.0024
14,Si,29,15,3.1176,0.0052
14,Si,30,16,3.1336,0.0040
15,P,31,16,3.1889,0.0019
16,S,32,16,3.2611,0.0018
16,S,34,18,3.2847,0.0021
16,S,36,20,3.2985,0.0024
17,Cl,35,18,3.3654,0.0191
17,Cl,37,20,3.3840,0.0170
18,Ar,32,14,3.3468,0.0062
18,Ar,33,15,3.3438,0.0058
18,Ar,34,16,3.3654,0.0040
18,Ar,35,17,3.3636,0.0042
18,Ar,36,18,3.3905,0.0023
18,Ar,37,19,3.3908,0.0022
18,Ar,38,20,3.4028,0.0019
18,Ar,39,21,3.4093,0.0031
18,Ar,40,22,3.4274,0.0026
18,Ar,41,23,3.4251,0.0030
18,Ar,42,24,3.4414,0.0041
18,Ar,43,25,3.4354,0.0039
18,Ar,44,26,3.4454,0.0046
18,Ar,46,28,3.4377,0.0044
19,K,37,18,3.4194,0.0292
19,K,38,19,3.4236,0.0259
19,K,39,20,3.4361,0.0223
19,K,40,21,3.4324,0.0188
19,K,41,22,3.4489,0.0157
19,K,42,23,3.4469,0.0129
19,K,43,24,3.4497,0.0100
19,K,44,25,3.4472,0.0074
19,K,45,26,3.4531,0.0048
19,K,46,27,3.4417,0.0023
19,K,47,28,3.4419,0.0000
19,K,48,29,3.4689,0.0023
19,K,49,30,3.4913,0.0046
19,K,50,31,3.5046,0.0067
19,K,51,32,3.5196,0.0087
20,Ca,39,19,3.4595,0.0025
20,Ca,40,20,3.4776,0.0019
20,Ca,41,21,3.4780,0.0019
20,Ca,42,22,3.5081,0.0021
20,Ca,43,23,3.4954,0.0019
20,Ca,44,24,3.5179,0.0021
20,Ca,45,25,3.4944,0.0021
20,Ca,46,26,3.4953,0.0020
20,Ca,47,27,3.4783,0.0024
20,Ca,48,28,3.4771,0.0020
20,Ca,50,30,3.5168,0.0064
21,Sc,42,21,3.5702,0.0238
21,Sc,43,22,3.5575,0.0147
21,Sc,44,23,3.5432,0.0016
21,Sc,45,24,3.5459,0.0025
21,Sc,46,25,3.5243,0.0089
22,Ti,44,22,3.6115,0.0051
22,Ti,45,23,3.5939,0.0032
22,Ti,46,24,3.6070,0.0022
22,Ti,47,25,3.5962,0.0019
22,Ti,48,26,3.5921,0.0017
22,Ti,49,27,3.5733,0.0021
22,Ti,50,28,3.5704,0.0022
23,V,51,28,3.6002,0.0022
24,Cr,50,26,3.6588,0.0065
24,Cr,52,28,3.6452,0.0042
24,Cr,53,29,3.6511,0.0075
24,Cr,54,30,3.6885,0.0074
25,Mn,50,25,3.7120,0.0196
25,Mn,51,26,3.7026,0.0212
25,Mn,52,27,3.6706,0.0128
25,Mn,53,28,3.6662,0.0076
25,Mn,54,29,3.6834,0.0049
25,Mn,55,30,3.7057,0.0022
25,Mn,56,31,3.7146,0.0052
26,Fe,54,28,3.6933,0.0019
26,Fe,56,30,3.7377,0.0016
26,Fe,57,31,3.7532,0.0017
26,Fe,58,32,3.7745,0.0014
27,Co,59,32,3.7875,0.0021
28,Ni,57,29,3.7757,0.0020
28,Ni,59,31,3.8118,0.0016
28,Ni,60,32,3.8225,0.0019
28,Ni,61,33,3.8399,0.0021
28,Ni,63,35,3.8572,0.0023
29,Cu,63,34,3.8823,0.0015
29,Cu,65,36,3.9022,0.0014
30,Zn,64,34,3.9283,0.0015
30,Zn,66,36,3.9491,0.0014
30,Zn,67,37,3.9530,0.0027
30,Zn,68,38,3.9658,0.0014
30,Zn,70,40,3.9845,0.0019
31,Ga,63,32,3.9308,0.0124
31,Ga,64,33,3.9390,0.0110
31,Ga,66,35,3.9706,0.0071
31,Ga,68,37,3.9850,0.0048
31,Ga,69,38,3.9973,0.0016
31,Ga,70,39,3.9998,0.0027
31,Ga,71,40,4.0118,0.0016
31,Ga,72,41,4.0318,0.0031
31,Ga,73,42,4.0420,0.0042
31,Ga,74,43,4.0395,0.0045
31,Ga,75,44,4.0472,0.0055
31,Ga,76,45,4.0460,0.0060
31,Ga,77,46,4.0500,0.0068
31,Ga,78,47,4.0453,0.0072
31,Ga,79,48,4.0478,0.0079
31,Ga,80,49,4.0418,0.0083
31,Ga,81,50,4.0441,0.0089
31,Ga,82,51,4.0671,0.0108
32,Ge,70,38,4.0414,0.0012
32,Ge,72,40,4.0576,0.0013
32,Ge,73,41,4.0632,0.0014
32,Ge,74,42,4.0742,0.0012
32,Ge,76,44,4.0811,0.0012
33,As,75,42,4.0968,0.0020
34,Se,74,40,4.0700,0.0200
34,Se,76,42,4.1395,0.0016
34,Se,77,43,4.1395,0.0018
34,Se,78,44,4.1406,0.0017
34,Se,80,46,4.1400,0.0018
34,Se,82,48,4.1400,0.0019
35,Br,79,44,4.1629,0.0021
35,Br,81,46,4.1599,0.0021
36,Kr,72,36,4.1635,0.0060
36,Kr,74,38,4.1870,0.0041
36,Kr,75,39,4.2097,0.0041
36,Kr,76,40,4.2020,0.0036
36,Kr,77,41,4.2082,0.0037
36,Kr,78,42,4.2038,0.0033
36,Kr,79,43,4.2034,0.0032
36,Kr,80,44,4.1970,0.0029
36,Kr,81,45,4.1952,0.0026
36,Kr,82,46,4.1919,0.0025
36,Kr,83,47,4.1871,0.0023
36,Kr,84,48,4.1884,0.0022
36,Kr,85,49,4.1846,0.0022
36,Kr,86,50,4.1835,0.0021
36,Kr,87,51,4.1984,0.0027
36,Kr,88,52,4.2171,0.0043
36,Kr,89,53,4.2286,0.0054
36,Kr,90,54,4.2423,0.0069
36,Kr,91,55,4.2543,0.0081
36,Kr,92,56,4.2724,0.0099
36,Kr,93,57,4.2794,0.0107
36,Kr,94,58,4.3002,0.0129
36,Kr,95,59,4.3067,0.0136
36,Kr,96,60,4.3267,0.0158
37,Rb,76,39,4.2273,0.0070
37,Rb,77,40,4.2356,0.0080
37,Rb,78,41,4.2385,0.0083
37,Rb,79,42,4.2284,0.0065
37,Rb,80,43,4.2271,0.0061
37,Rb,81,44,4.2213,0.0051
37,Rb,82,45,4.2160,0.0042
37,Rb,83,46,4.2058,0.0028
37,Rb,84,47,4.1999,0.0023
37,Rb,85,48,4.2036,0.0024
37,Rb,86,49,4.2025,0.0023
37,Rb,87,50,4.1989,0.0021
37,Rb,88,51,4.2170,0.0038
37,Rb,89,52,4.2391,0.0074
37,Rb,90,53,4.2554,0.0102
37,Rb,91,54,4.2723,0.0131
37,Rb,92,55,4.2903,0.0163
37,Rb,93,56,4.3048,0.0187
37,Rb,94,57,4.3184,0.0211
37,Rb,95,58,4.3391,0.0248
37,Rb,96,59,4.3501,0.0267
37,Rb,97,60,4.4231,0.0395
37,Rb,98,61,4.4336,0.0414
38,Sr,77,39,4.2569,0.0044
38,Sr,78,40,4.2561,0.0040
38,Sr,79,41,4.2586,0.0039
38,Sr,80,42,4.2562,0.0037
38,Sr,81,43,4.2547,0.0034
38,Sr,82,44,4.2478,0.0030
38,Sr,83,45,4.2455,0.0027
38,Sr,84,46,4.2394,0.0024
38,Sr,85,47,4.2304,0.0021
38,Sr,86,48,4.2307,0.0020
38,Sr,87,49,4.2249,0.0019
38,Sr,88,50,4.2240,0.0018
38,Sr,89,51,4.2407,0.0023
38,Sr,90,52,4.2611,0.0037
38,Sr,91,53,4.2740,0.0046
38,Sr,92,54,4.2924,0.0064
38,Sr,93,55,4.3026,0.0075
38,Sr,94,56,4.3191,0.0091
38,Sr,95,57,4.3305,0.0102
38,Sr,96,58,4.3522,0.0125
38,Sr,97,59,4.3625,0.0135
38,Sr,98,60,4.4377,0.0214
38,Sr,99,61,4.4495,0.0226
38,Sr,100,62,4.4640,0.0240
39,Y,86,47,4.2513,0.0023
39,Y,87,48,4.2498,0.0022
39,Y,88,49,4.2441,0.0021
39,Y,89,50,4.2430,0.0021
39,Y,90,51,4.2573,0.0026
39,Y,92,53,4.2887,0.0050
39,Y,93,54,4.3052,0.0065
39,Y,94,55,4.3142,0.0074
39,Y,95,56,4.3284,0.0087
39,Y,96,57,4.3402,0.0099
39,Y,97,58,4.3580,0.0116
39,Y,98,59,4.3711,0.0129
39,Y,99,60,4.4658,0.0223
39,Y,100,61,4.4705,0.0228
39,Y,101,62,4.4863,0.0244
39,Y,102,63,4.4911,0.0249
40,Zr,87,47,4.2789,0.0030
40,Zr,88,48,4.2787,0.0025
40,Zr,89,49,4.2706,0.0010
40,Zr,90,50,4.2694,0.0010
40,Zr,91,51,4.2845,0.0013
40,Zr,92,52,4.3057,0.0013
40,Zr,94,54,4.3320,0.0013
40,Zr,96,56,4.3512,0.0015
40,Zr,97,57,4.3792,0.0136
40,Zr,98,58,4.4012,0.0164
40,Zr,99,59,4.4156,0.0181
40,Zr,100,60,4.4891,0.0289
40,Zr,101,61,4.5119,0.0318
40,Zr,102,62,4.5292,0.0340
41,Nb,90,49,4.2891,0.0040
41,Nb,91,50,4.2878,0.0040
41,Nb,92,51,4.3026,0.0043
41,Nb,93,52,4.3240,0.0017
41,Nb,99,58,4.4062,0.0125
41,Nb,101,60,4.4861,0.0203
41,Nb,103,62,4.5097,0.0227
42,Mo,90,48,4.3265,0.0016
42,Mo,91,49,4.3182,0.0012
42,Mo,92,50,4.3151,0.0012
42,Mo,94,52,4.3529,0.0013
